title,review_value,reviewer_name,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation
"""extremely polite and helpful""",9,K Weber,22nd December 2017,"✅ Trip Verified | First time flying with ANA from Frankfurt to Tokyo. The cabin crew were extremely polite and helpful. Both, breakfast and dinner were very good. There was just one option left for dinner and the stewardess apologized for the inconvenience. Only thing I didnt quite like was the selection of films, which I found to be a little bit small but it was enough for the flight and there are many TV shows aswell.",Boeing 777-300ER (B77W),Solo Leisure,Economy Class,Frankfurt to Tokyo,November 2017,5.0,5.0,4.0,4.0,5.0,5,yes
"""FAs were polite and helpful""",7,K Hanliono,16th December 2017,"✅ Trip Verified |  Jakarta to Tokyo Narita. Flight was smooth with boarding, take off and landing on time. FAs were polite and helpful. IFE on this flight was easy to navigate, with less movie selection in comparison to some 5-star airlines. Window shade is adjusted electronically, making your flight so much better as it provides with proper sunlight according to your liking. No amenities, other than a blanket and the usual economy class headphone. Meals were standard. Legroom spacious and I got no trouble getting in and out. A really good option if you're flying to Japan cities other than Tokyo as they got a bunch of flights domestically.",,Solo Leisure,Economy Class,Jakarta to Tokyo Narita,December 2017,4.0,4.0,3.0,3.0,4.0,5,yes
"""could not believe how nice it was""",10,Carl Holt,8th December 2017,"✅ Trip Verified |  Washington to Bangkok via Tokyo Narita. If you can fly on the All Nippon Airlines (ANA) rather than an American carrier, do so. I could not believe how nice it was, even in the cheap seats. There was more room, the stewardess were young and beautiful and the food was great. They actually had real metal utensils. I had two fabulous meals on the DC to Tokyo and another on the Tokyo to Bangkok. One meal had chicken and another had shrimp. They were served with rice, vegetables, fruit, and even ice cream for dessert. I had to take pictures of them to show people back in the US. You can also check two bags for free. ANA makes money providing this service so why can’t the US carriers. On the return trip from Tokyo to Washington DC I started to take a picture of the meager meal on the US carrier and was rudely snapped at by a stewardess that said I could not take pictures on the airplane. It was only food. From now on I will fly ANA whenever possible. I never give out my personal info but felt like I had to this time to let everyone know how nice it is to fly ANA.",Boeing 777-300 & 787-9,Solo Leisure,Economy Class,Washington to Bangkok via Tokyo Narita,November 2017,5.0,5.0,5.0,5.0,5.0,5,yes
"""Five star service""",9,KC Goh,5th December 2017,"✅ Trip Verified |  Kuala Lumpur to New York via Tokyo and back on economy class. Five star service from cabin crew, carry smiles with them and responded to my requests with positive attitude. Food options was decent, especially on NRT-JFK route, not so on the KUL-NRT route. However, I find the aircraft on the KUL-NRT route (Boeing 787) is better as the seat could be reclined as compared to the fixed-back shell design reclining system on NRT-JFK route (Boeing 777-300ER), where the lower back support and the seat itself were pushed forward when reclining. The noise level is slightly quieter in the Boeing 787 as well making sleep more enjoyable with less distraction. Inflight entertainment was quite limited as I flew four legs (about 40 hours flying time) on the same month hence I did not have many choices to choose from.",Boeing 787 / 777,Solo Leisure,Economy Class,Kuala Lumpur to New York via Tokyo,November 2017,4.0,5.0,5.0,3.0,4.0,5,yes
"""staff genuinely friendly""",10,Filippo Bertoni,29th November 2017,"❎ Not Verified | Tokyo Haneda to Singapore. Excellent flight with an excellent airline. The aircraft (a one-year old 789 Dreamliner) was immaculate and super clean. Staff is genuinely friendly and always willing to help. Food was great and served with Japanese-style assortment. Plenty of rounds of drinks throughout the flight. One the negative side, movies selection should be improved. Other than that, I would recommend ANA to anyone and look forward to flying with them again.",Boeing 787-9,Business,Economy Class,Tokyo Haneda to Singapore,November 2017,4.0,5.0,5.0,3.0,5.0,5,yes
"""thoroughly excellent experience""",10,Patricia Myers,18th November 2017,"❎ Not Verified |  Kuala Lumpur to Washington via Tokyo. Simply amazing! Efficient, genuine service, delicious food, lots of leg room. Attention to detail and safety. I am a convert. I have lived in SE Asia for several years and usually fly home to DC via the Middle East as I have found service and pricing the most competitive - until now! After flying ANA, I may never fly any other airline for my long haul to the US. My flight with ANA was one of my best flight experiences in Economy on any carrier. I found the service to be superior, attentive but not intrusive - friendly, efficient and genuine. The food was scrumptious - go for the Japanese if you can - quite good! I also had a delicious chicken tandoori on the leg from Tokyo to KL. I don’t fly for the food but theirs was certinaly a plus. Enough snacks to manage the 14 hours from DC to Tokyo, plenty of water and juice served in the cabin throughout the flight and requests were responded to promptly efficiently and with sincerely kind service. Clean bathrooms for the whole flight. This really stood out. I actuallly watched an attendant clean the bathroom 3 or 4 times on the flight! And another insisted on cleaning it before I used it on another flight. How nice to have clean bathrooms for the whole flight! (Not often the case on other carriers on my long haul flights from SE Asia to DC). One note - make sure your flight from Tokyo to DC is operated by ANA (not United) as they are exceptional. Often the flights are code share with United, and the leg from Tokyo to DC is operated by United - which is only slightly better than taking a public bus in the sky. I also had to change my return flight and ANA customer service made that a pleasant experience. A thoroughly excellent experience from start to end.",,Solo Leisure,Economy Class,Kuala Lumpur to Washington via Tokyo,November 2017,5.0,5.0,5.0,5.0,5.0,5,yes
"""would 100% recommend this airline""",10,Lucas Hull,16th November 2017,"✅ Verified Review |  Sydney to Tokyo Haneda route in August 2017. Had read many glowing reviews and was very excited to fly with such well regarded airline. I was not disappointed. Their air hostesses take customer service to the next level, being professional and very polite. ANA fly a much more convenient route to Tokyo from Sydney than Japan Airlines, going to Haneda airport instead of Narita (Haneda is much closer to the city than Narita). ANA also fly quiet, more new aircraft (Boeing 787-9) than airlines like QANTAS which fly the same route and a similar time with much older aircraft (747). The 787 allows better air regulation in the cabin and can deal with turbulence quite well which helps with sleep in a red-eye flight. It was nice to have a flight where the food tasted really good. Was at restaurant quality which is surprising for airline food. IFE was pretty good, with a decent selection of new movies for all ages, including some of my favourite studio ghibli films. Seat was pretty comfortable with a good amount of leg room for someone who is almost 6 foot in height. Overall this airline was fantastic, with awesome service rounding off a great flight experience, I would 100% recommend this airline for anyone travelling to japan, and will consider as a first option when travelling in the Asian region",Boeing 787-9,Solo Leisure,Economy Class,Sydney to Tokyo Haneda,August 2017,5.0,5.0,5.0,4.0,5.0,5,yes
"""The best flight ever had""",10,Itzik Ben-Ezri,6th November 2017,"✅ Verified Review |  Osaka to Ishigaki. The best flight ever had in terms of service quality starting the ground services, lines and all, the stuff is always on to serve and make the flight more convenient for the costumers. the plan was clean without a single spot. perfect! The food was also very good, not the standard airplane food that you find in the usual flights. Thanks ANA",,Couple Leisure,Economy Class,Osaka to Ishigaki,October 2017,5.0,5.0,5.0,,5.0,5,yes
"""better even than other Asian carriers""",9,B Meadon,5th November 2017,"✅ Verified Review |  Los Angeles to Shanghai via Tokyo. This review is about the transpacific segments of a LAX-Shanghai trip I took on ANA aboard a 777-300ER. I rarely fly ANA because it is usually very far from being the cheapest carrier on any routing I take. On this occasion fare was within striking distance, so I decided to blow a few hundred extra dollars on them. It turned out to be a good choice. These people are light-years ahead of anyone else I've flown, especially US carriers, but in my opinion they do better even than other Asian carriers like Asiana and Singapore. The business class seat is truly excellent; spacious, comfortable, the dining table is brilliantly designed to give great space on which everything fits- the meal tray, the drinks, the phone, everything. But where they truly stand out is in their service. Their people are invariably polite, attentive, gracious, and pleasant. The only thing to criticize about the whole experience is the awful OnAir wifi, which is between slow and useless, on top of being expensive. Everything else is so top-notch that there is literally nothing to find fault with. The seat is so good, and the service is so well planned, that I barely felt the lack of connectivity. I read, and I slept, and got to China and back feeling like the long hours of travel (usually the part I like the least) were well spent. The whole experience, from check in to baggage retrieval, is thought through with convenience in mind. I can't afford to fly on them each time I go to Asia, but if your budget allows, or if their fare is not hugely above your next alternative, this carrier is really second to none and is well worth a few extra dollars for a stress-free and enjoyable transit.",Boeing 777-300ER,Business,Business Class,Los Angeles to Shanghai via Tokyo,November 2017,5.0,5.0,5.0,,5.0,4,yes
"""cabin staff  ignored me""",1,Pabia Mazumder,3rd November 2017,✅ Verified Review |  London to Tokyo return. The service from London to Japan was pleasant and air hostess made me feel welcome. However on the return the cabin staff  ignored me when I asked for water or tea. My partner was pestered to move seat forward by staff so that older folks behind us had enough leg space! I was so annoyed as I have paid for my seat and checked on to see if seats was moved back. I was approached by staff later asking me to put down the window shutter when the cabin lights were down. I felt that they were more concerned about Japanese passengers then non Japanese passengers. I didn't complain to air hostess at time as I wanted to just go home. However this experience has totally discouraged me to fly with ANA again.o,,Couple Leisure,Economy Class,Tokyo to London,September 2017,1.0,1.0,3.0,,3.0,1,no
"""privacy being the focus""",10,Andy Lam,30th October 2017,"✅ Verified Review |  We flew business class to Tokyo from San Francisco on ANA. The cabin layout is unorthodox with privacy being the focus, even in the middle section where my wife and I sat. Seating was 1-2-1 configuration. Seat was comfortable and an extra long piece of cushion was provided if you need more support. Plane looked very clean and all the controls worked perfectly. Sleep was no problem with the lie flat seat. The Japanese food selection was excellent. Lots of fish on tap. I didn't try the western menu. FA all slim, young and very attractive Japanese females. Did not see a male FA in our section. FA's very friendly and efficient. English not always 100% fluent but didn't matter. Adds to the overall experience. There were only 12 BC passengers so I had the lavatory to myself almost. Will definitely fly with ANA in BC to Japan in the future.",Boeing 787,Couple Leisure,Business Class,San Francisco to Tokyo Narita,October 2017,4.0,5.0,5.0,5.0,5.0,4,yes
"""food and IFE were disappointing""",9,R Gonzaga,28th October 2017,"✅ Verified Review |  Originally booked to fly BWI-ORD-NRT-KUL on 14 October but BWI-ORD was delayed for over 4 hours so I had to be rebooked out of IAD on 15 Oct. PY to NRT and Business to KUL. Check in at IAD was surreal. I was waiting in line for the ANA counter to open and what a ceremony! The check in staff lines up in front of the check in desk, bowed and wished everyone a good morning in Japanese. Then they silently and graciously got on with their duties. The check-in staff were excellent but the ANA airport manager was really rude and unpleasant when I approached him to ask him a question about the wait for the wheelchair for my mother. That was the only bad experience of the journey. There were many apparent important looking Japanese people travelling on this flight and the ANA staff were bending over backwards to accommodate them at the expense (in my opinion) of other pax. PY passengers had access to the Lufthansa Business class lounge which was simply awful. Only cold food on offer. Boarding was done well and efficiently at IAD airport. Again, service on board was excellent but the food and IFE were disappointing. Mid flight from IAD to NRT, we were served a chicken sandwich which was essentially one slice of bread with a few strands of chicken and mayo. It was not accompanied with any chips or any other snacks which was disappointing for a flight of 13.5 hours. There were two main meals of small portions and again an odd combination of Western/Japanese items. NRT-KUL was in Business class due to the carrier changing the aircraft so we were upgraded to the 787 C class cabin which had a seating configuration of 2-2-2. The beds were angle type and not flat. The food on C class was definitely much better and was attractively presented. Overall, it was a good journey and I would recommend ANA.","Boeing 777-300, Boeing 787",Family Leisure,Business Class,Washington Dulles to Kuala Lumpur via Tokyo,October 2017,5.0,5.0,2.0,1.0,5.0,4,yes
"""Cabin attendants were superb""",8,R Gonzaga,28th October 2017,"✅ Verified Review |  KUL-NRT-ORD-BWI, 21 September 2017. Last leg on UA as a codeshare. KUL-NRT on Y class due to absence of PY on this sector. Top marks for check in staff at KUL, boarding done well and I was travelling with a wheelchair pax and everything was faultless. Cabin attendants were superb, friendly and caring and fussed over my 83 year old mother who was travelling with me. Call bells were answered promptly and always politely. Each disabled pax was assigned a FA when deplaning to ensure that things ran smoothly. The downside, food and entertainment were sub par. They have a funny mixed menu where even if you order a Western meal, you get elements of Japanese food on your tray and vice versa. The IFE was lacking, especially on the long NRT-ORD flight. The Y seats were tight and narrow and would have been uncomfortable for any journey longer than the 7 hours that it took to get to NRT. From NRT-ORD, we had bulkhead window seats, in a 2-4-2 configuration in PY which was okay. There was a leg rest but the drawback was that the screen was mounted on the wall. There was a reasonable amount of recline, seats were wide but you could not stretch your feet out completely. That's okay as it was not designed to be business class. We were given noise cancelling headsets, slippers, ear plugs and other amenities. Deplaning in ORD was fine and thankfully we had a lovely attendant who transported us from terminal 5 to terminal 1 for our UA flight. I would highly recommend ANA but please improve your IFE and sort out your menus.","Boeing 787, Boeing 777-300",Family Leisure,Premium Economy,Kuala Lumpur to Chicago O'Hare via Tokyo,September 2017,4.0,5.0,2.0,2.0,5.0,4,yes
"""highly recommend flying with ANA""",10,B Rowman,15th October 2017,"✅ Verified Review |  Nagasaki to Sydney via Tokyo Haneda on 12 October 2017. Both flights were excellent. Check-in process at Nagasaki was crowded, but all passengers were checked in with ample time to spare. The seats on the plane were in a 3-4-3 configuration, and there was a standard seat width. However, the legroom was brilliant - I was able to stretch my legs all the way, and I am 6'3"" (192cm). Inflight service consisted of a drink and a small snack. Transfer in Tokyo was smooth and was also where I experienced first-hand how helpful ANA staff really are - I realised I did not have my passport about 5 minutes before the plane was to board, and the staff immediately leapt into action. Two began furiously calling on phones at the gate, and three left to go looking around at all the places I had been in the airport. They even told me that they would delay the flight until it was found! The passport was eventually handed in to the information desk at the airport and one of the staff then went to pick it up and delivered it to me. After this somewhat dramatic start to the second flight, the rest of the journey was smooth, The legroom was again impressive, and the seats were comfortable enough for me to catch a few hours of sleep. I would highly recommend flying with ANA whenever you have the chance, and they are probably the best choice for flying to Japan.",Boeing 777-200 / 787-9,Solo Leisure,Economy Class,Nagasaki to Sydney via Tokyo,October 2017,4.0,5.0,4.0,4.0,5.0,5,yes
"""super friendly cabin attendants""",10,Victor Sun,5th October 2017,"✅ Verified Review |  Nagoya to London via Tokyo Haneda. Chaotic check-in at Nagoya airport, although everybody got checked in by the deadline. Smooth boarding and punctual gate departure. Very clean cabin onboard the Boeing 737. One drink was served on this short 1 hour flight. Smooth transfer at HND, with great shopping choices. The Boeing 777-300ER  has configuration of 2-4-3 across, with fixed-shell seats. Not the most comfortable economy seats as when you fully recline, your legroom really reduces greatly. But it is still well above average. Food was absolutely delicious (Japanese beef sukiyaki), and the cabin was kept clean all the time. Inflight entertainment was good with lots of choices of movies/videos/audio. However the flight map function did not work for the whole flight. Special mention to the super friendly cabin attendants who offered superb service, as well as friendly chats in the gallery. Overall, extremely good experience and will fly long haul on ANA in the future.",Boeing 737-800 / 777-300ER,Solo Leisure,Economy Class,Nagoya to London via Tokyo Haneda,October 2017,4.0,5.0,5.0,5.0,4.0,5,yes
"""Food and service was awesome""",9,Victor Sun,5th October 2017,"✅ Verified Review |  Hong Kong to Tokyo Narita. A decent flight overall. Swift in-town check-in before taking HKG's airport express train. Generous baggage allowance of 2 x 23kg. Detailed pre-boarding information (delays/boarding time/boarding procedures). The plane was quite old with non-HD low resolution screens and very old (although comfy) seats. Food and service was awesome. Very attentive cabin attendants and clean cabin. Arrival into NRT was smooth, with extremely efficient passport control and baggage claim. From stepping out of the plane to getting out of the airport, only 15 mins! Overall very great value for money.",Boeing 767-300,Solo Leisure,Economy Class,Hong Kong to Tokyo Narita,September 2017,5.0,5.0,5.0,3.0,5.0,5,yes
"""Superior in every aspect""",10,D Sealey,24th September 2017,"✅ Verified Review |  Tokyo Narita to Dusseldorf. So far, the best airline I flew with, perectly on time. Cabin crew incredibly friendly and helpful, aircraft 1 year old (amazingly clean), high level of on-board food and drinks, very nice entertainment system. A lot of space in economy, relaxing seats. Superior in every aspect.",Boeing 787-9,Solo Leisure,Economy Class,Tokyo Narita to Dusseldorf,September 2017,5.0,5.0,5.0,5.0,5.0,5,yes
"""the kindest crew members""",10,J Starmory,21st September 2017,"✅ Verified Review |  Bangkok to Los Angeles via Tokyo. The service on the plane was great, some of the kindest crew members. Such respect! On all four flights the food was so delicious. My seat was also very comfortable, I don't have a bad thing to say about ANA!",Boeing 777,Couple Leisure,Economy Class,Bangkok to Los Angeles via Tokyo,September 2017,5.0,5.0,5.0,5.0,5.0,5,yes
"""flight and service were amazing""",9,S Vanushikan,18th September 2017,"✅ Verified Review |  San Jose to Tokyo Narita with ANA on premium economy. The flight and service were amazing. Check in was easy and efficient. ANA allows premium economy passengers to have lounge access. The lounge was comfortable and was a good place to do some planespotting.  About 10 minutes before boarding, attendants came around making sure everyone knew the boarding time. Boarding was quick and easy and we pushed back really fast. Right after take-off, attendants came around with water and rice crackers. About 1 hour later, lunch service started. I ordered a beef and pork dish with cold soba, fruit, and a prosciutto wrap. Portions were very generous and were delicious. After dinner, attendants walked around giving vanilla Haagen Daz ice cream, which was delicious. Soon they dimmed the lights and allowed everyone to sleep. ANA allows premium economy passengers to have one extra dessert or cold soba noodles. I opted for a dessert, which was either a raspberry mouse or some mochi. I got the raspberry mouse, which was even better than the Haagen Daz. I tried to get some sleep, but I couldn't because I kept drinking green tea. Attendants constantly walked around and asked if we wanted water, and then they would give it to us. When the crew turned the lights back on, breakfast service started. I got some chicken with rice Shanghai-style with rice, yogurt, and fruit. This was equally as delicious. Attendants cleared our plates and begin the landing sequence. About an hour before landing, attendants handed out small candies with different flavors. Deplaning was easy and while we were waiting, attendants asked how our service was and, of course, we said that it was absolutely amazing. When we landed, ANA crew took the bags off the carousel and gave it to each passenger, which was incredibly courteous.",Boeing 787,Family Leisure,Premium Economy,San Jose to Tokyo Narita,August 2017,5.0,5.0,5.0,3.0,5.0,4,yes
"""new A321 with winglets""",8,Andres Munevar,8th September 2017,"✅ Verified Review |  Tokyo Haneda to Fukuoka. I had high hopes for this airline considering their increasingly large presence in the US market (even more so than JAL). When I heard ANA would begin to fly the new A321 with winglets I had to purchase tickets. The aircraft on board is modern looking, although the cabin seems a bit out of date because they have cloth rather than leather seats. The flight was exactly on time. Flight attendants were kind but did not speak English. I was surprised though to see they did not offer any inflight beverage or snack.  Also there was no inflight entertainment or wifi.",A321,Family Leisure,Economy Class,Tokyo Haneda to Fukuoka,August 2017,4.0,4.0,,,5.0,4,yes
"""extremely clean, but looked old""",8,Michel Perrin,5th September 2017,"✅ Verified Review |  Flew ANA All Nippon Airways from Osaka (Kansai) - Memanbetsu (Hokkaido) and return. Everything fine as usual. Fast check-in. Fast boarding. Planes on time, extremely clean, but looked old. No frills on board, of course, but a good option of paid food, including hot soup. Baggage with delivered in 5 minutes.",Boeing 737-800,Couple Leisure,Economy Class,Kansai to Hokkaido,September 2017,3.0,5.0,3.0,,4.0,5,yes
"""very disappointed by ANA""",5,S Pacquise,29th August 2017,"✅ Verified Review |  Hong Kong to Tokyo Haneda on a 9 year old Boeing 767-300. The inflight entertainment is recent, but not the device. I could see the pixels, I could not read subtitles and couldn't select languages / subtitles. We found the food tasteless, my partner had to ask twice to get bread. I was very disappointed by ANA, 500€ for this kind of quality is very expensive.",,Couple Leisure,Economy Class,Hong Kong to Tokyo Haneda,August 2017,3.0,3.0,2.0,1.0,5.0,2,no
"""service was very good""",8,C Choi,25th August 2017,"✅ Verified Review |  Hong Kong to New York via Tokyo. This was my first trip on ANA. HKG-NRT on a 767,  NRT-JFK leg was on a much newer 777. I was able to occupy two seats on the latter leg because the seat next to mine was vacant. But economy was still economy and not exactly conducive to a good night's sleep. Food on ANA was okay, service was very good. Because I extended my stay in New York, I didn't use the return portion of my ticket. But I'd still say that the price I paid for it (US$655) was a bargain for one of Skytrax five-star airlines.",Boeing 767 / 777,Solo Leisure,Economy Class,Hong Kong to New York via Tokyo,June 2017,3.0,5.0,4.0,4.0,4.0,5,yes
"""highlight the customer service""",10,R Gonzaga,17th August 2017,"✅ Verified Review |  I have a flight booked for September from Kuala Lumpur to Chicago via Narita (returning through Tokyo Haneda). However, I would like to highlight the customer service from ANA thus far. On my return flight to KUL our of HND, they have changed the aircraft from a Boeing 787-9 to a Boeing 787-8. The latter plane does not have a premium economy class so ANA have upgraded us to Business class for the HND-KUL sector. To top it all, they apologised for the change in aircraft and assured us that if the aircraft was changed to yet a different aircraft with a premium economy cabin, we would still be flying Business class! Now THAT is customer service. All information was relayed via email. In this day and age, this is such good service.",,Family Leisure,Premium Economy,Kuala Lumpur to Chicago via Narita ,August 2017,,,,,,5,yes
"""she didn't know better""",8,Michael Hollifield,8th August 2017,"✅ Verified Review |  Seoul Gimpo to Tokyo Haneda. I fly this route once or twice a year. Always on time, always a quick flight, always a good experience except this time. The food is actually good and unique for airline food (if you can handle Japanese cuisine). They even add extra touches like an extra bag of snacks if you order an extra beer or wine mid flight. Planes immaculate. I have never in my life had a problem with any flight attendant. On the return from HND to GMP, I was sitting causally unbuckled with the cabin door open during boarding. An attendant came up to me, said welcome aboard and flat out asked me to my face if I wanted a seatbelt extender. Nothing about my posture, facial expression, or attitude remotely indicated I need help. I am 180 cm 120 kg (5'11"" 265 lb) and fly several times per year around Asia and to US and have never needed one. Never have I taken up others' seat space or anything. Nor have I ever really felt shame or lack of confidence being fat. But now I know that feeling. Unfortunate that she didn't know better. I emailed ANA upon return (didn't want to make a scene on board) as it really did ruin my flight. I received a generic, wordy apology, but also didn't expect more as I am non-elite on a premium route. Also, what else could they really do anyway? I will fly ANA again, but minus points.",Boeing 787-8,Solo Leisure,Economy Class,Seoul Gimpo to Tokyo Haneda,June 2017,4.0,2.0,5.0,5.0,5.0,5,yes
"""seats were comfortable""",5,K Oshiro,2nd August 2017,"✅ Verified Review |  Afternoon flight out of Kuala Lumpur to Haneda on their new Boeing 787-9. The aircraft was clean and the seats were comfortable. Food this time was great compared to their outbound flight. One thing I found surprising was that the crew forgot to serve drinks to the last two rows of passengers there were no turbulence and the aircraft was about only 70% full. We had to walk to the galley to request for drinks. The aircraft was delayed by almost 45 minutes and considering the arrival time of almost midnight into Haneda, this might be very inconvenient for many passengers who wish to catch the public transport home.",Boeing 787-900,Solo Leisure,Economy Class,Kuala Lumpur to Tokyo,August 2017,4.0,3.0,4.0,2.0,3.0,4,yes
"""staff still second to none""",7,D Wallis,2nd August 2017,"✅ Verified Review | I was looking forward to flying with ANA again from Phnom Penh to Chicago via Tokyo Narita, having flown them three years ago and, at that time, was completely overwhelmed with their product. The good news is that some things have not changed - namely their staff. Every ANA employee I encountered was warm, professional, and engaging. In fact, they averted a crisis when, upon getting off the plane in Tokyo, I discovered that I had left my toiletries on the plane. I contacted an ANA employee and within 10 minutes, I had my toiletries back. The flight attendants on all of my flights were top notch and were so kind and caring. Nothing was too much trouble for them. Where things fell short was at the ANA lounge at Narita. On the good side, the shower room was great! But the food at the lounge was very much lacking. I had a 9 hour layover at Narita and got to see the morning and afternoon offerings. While three years ago there was a noodle bar where they made your noodle dishes individually. That is now gone. For the AM, they had four hot dishes: onion soup, miso soup, scrambled eggs, and skillet potatoes. The scrambled eggs had a yellowish color that I had never seen before and looked very unappetizing. The potatoes were left out in the open on a chafing dish. You never knew how long they had been sitting there. In the afternoon, the same dishes were there except that the scrambled eggs were replaced by a noodle dish which, I must admit, was tasty! Again, the potatoes were left uncovered. Sadly, there were times when the noodle dish was left completely empty and not promptly replaced by the staff. The food on the plane, while good, was not awe-inspiring. I had both Japanese and Western dishes and none were remarkable. The only hot breakfast dish on the flight back to Chicago was an omelet. In fact, on all flights there were only three main courses available, two Western and one Japanese. It seems that the food selection on business class has gone down from three years ago. Would I fly ANA again? You bet! I just would lower my expectations on the food served. The warmth and professionalism of their staff, however, is still second to none!",Boeing 777 / B787,Solo Leisure,Business Class,Phnom Penh to Chicago via Tokyo Narita,July 2017,4.0,5.0,3.0,4.0,5.0,5,yes
"""will fly with ANA again""",10,Andini Benjamin,29th July 2017,"✅ Verified Review |  Jakarta to San Francisco via Narita. I am pleased how ANA accomodate my needs during the long line security check point at Narita airport. I have a child with special needs that makes it hard for him to cooperate when the line is long and place is crowded. I was worried that I might miss my connecting flight as it was pretty short. Fortunately ANA sent someone to assisst us so we still have 15 minutes to board the plane. I could not imagine if we had to go in the normal line! That, and the flight attendants were all nice. Thank you so much. I will fly with ANA again when I have the chance.",,Family Leisure,Economy Class,Jakarta to San Francisco via Narita,July 2017,4.0,5.0,3.0,5.0,5.0,5,yes
"""it is outstanding""",9,Rajan Parrikar,27th July 2017,"✅ Verified Review |  Tokyo to San Jose in Business Class in a Boeing 787-8. The ANA Business Lounge at NRT is very pleasant despite the number of people using it. The flight departed on time. On-board service is typical ANA, which is to say it is outstanding. The Business Class seats on ANA's 787 aircraft are very well designed, affording privacy, comfort as well as ample table space for storage. Service is very warm and efficient. On this flight there was no wifi, something I found strange considering it services Silicon Valley's gateway airport. The lavatory was clean except for the toilet seat covers which do not seem to have been attended to carefully. On the whole, a very predictably pleasant ANA experience. The pressure and humidity in a 787 cabin ensures is far better on one's body than older generation aircraft.",787-8,Solo Leisure,Business Class,Tokyo to San Jose,July 2017,5.0,5.0,5.0,5.0,5.0,5,yes
"""experience is first rate""",10,Rajan Parrikar,27th July 2017,"✅ Verified Review |  Bombay to Tokyo Narita in Business Class on a Boeing 787-8. Boarding in Bombay was very orderly. The Business Class pods on ANA are very well conceived, affording privacy, comfort and plenty of table space. In-flight service is excellent, with flight attendants displaying warmth and efficiency. One point of criticism: we didn't see any food until 90 mins out of Bombay and the hot course arrived only after 2 hours. Given that the flight departs BOM at dinnertime, this is unacceptable. ANA should roll out the dinner service soon after attaining cruise altitude. There as no wifi on this flight, another sore point with me. But the overall experience is first rate.",Boeing 787-8,Solo Leisure,Business Class,Bombay to Tokyo Narita,July 2017,5.0,5.0,4.0,5.0,5.0,5,yes
"""cabin crew were fantastic""",7,K Oshiro,26th July 2017,"✅ Verified Review |  Late night flight from Haneda to Kuala Lumpur. The cabin crew were fantastic and the cabin was clean. The seats were comfortable and amenities provided were also sufficient. However, the midnight snacks and the meals can be further improved. Also compared to other airlines, ANA inflight entertainment is very limited.",Boeing 787-8,Solo Leisure,Economy Class,Tokyo to Kuala Lumpur,July 2017,4.0,4.0,2.0,2.0,5.0,4,yes
"""plenty of leg room""",4,Joao Ponces,11th July 2017,"✅ Verified Review |  Tokyo Haneda to Okinawa. High density on a B777 domestic flight, but it's quite comfortable, plenty of leg room.  No announcements in English from the cockpit, and this was a flight to Okinawa, with a lot of non Japanese speakers. Cabin staff was amazingly not particularly nice. They delivered children toys at the end of the flight. On a 2 hours+ flight, it'd be nice to have any food, even a pack of crackers. Drinks were only offered once. ",Boeing 777-200,Family Leisure,Economy Class,Tokyo Haneda to Okinawa,June 2017,4.0,2.0,1.0,,5.0,5,yes
"""smooth and pleasant flight""",7,Michael Little,4th July 2017,"✅ Verified Review |  Nagasaki to Naha. This was a smooth and pleasant flight. ANA does not offer online check-in for domestic passengers who have not booked via its website. However, the airport check-in was fast and efficient. Boarding was quick. The seat was comfortable and clean, and a cold drink was offered on the 95-minute flight. Apart from safety announcements, on-board announcements were made in Japanese only. The flight arrived on time and we only had to wait at the carousel about three minutes for our luggage. The fare on this route was exorbitant, regardless of how one bought the ticket, probably due to lack of competition.",Boeing 737,Couple Leisure,Economy Class,Nagasaki to Naha,June 2017,4.0,4.0,3.0,,5.0,3,yes
"""there are people that care""",10,S Badell,1st July 2017,"✅ Verified Review |  San Francisco to Manila return via Tokyo and vice versa was a complete surprise with the friendliness of the attendants on the airplane as well as in the airport. Having traveled a few times to the Philippines, this time was different, using a new airline. I have a son who is blind and needs lots of guidance due to unknown areas was offered assistance on and off the plane. Attendants were waiting for him which was a huge surprise to me because I never mentioned any need for help but yet there was someone waiting as we got off the plane. They even followed us after I refused the service since he had me to guide him. The attendants then left after asking me the second time if he was going to be fine. Also, the steward on the flight going was ""awesome"" he noticed when we walked in on the airplane that my son was blind and so he came and counted the seats with him to let him know how many seats were inbetween him and the nearest fire exit were. He did that a couple times with my son to make sure that he understood in case of an emergency. My hats are off to you at ANA. Thank you for making this mom have faith that there are people that care. Take care and always be safe.",,Family Leisure,Economy Class,USA to Manila,June 2017,4.0,5.0,5.0,5.0,4.0,4,yes
"""very comfortable flight""",10,A Peck,29th June 2017,"✅ Verified Review |  Tokyo Narita to Singapore. A very comfortable flight, with very attentive flight attendants, who were friendly and not intrusive. Put on a genuine smile. Meal was superb. Had fried chicken on steam rice, with good sides as well. Tasty but not oily. Kabosu, which is the airline's own drink creation of lime and honey, is really good and refreshing. The leg room seemed more generous than I have seen on other airlines. Highly recommend ANA if you are flying to Japan. Excellent service and products.",Boeing 787 ,Solo Leisure,Economy Class,Tokyo Narita to Singapore,June 2017,5.0,5.0,5.0,,4.0,5,yes
